CoC Number,under18,binary
NY-601,0.23113207547169812,0.9921383647798742
NY-602,0.29793510324483774,1.0
NY-603,0.3833223467369809,0.9976928147659855
NY-604,0.3672566371681416,0.9985250737463127
NY-606,0.09433962264150944,0.9905660377358491
NY-608,0.2567237163814181,0.9951100244498777
OH-500,0.20259019426456984,0.9944495837187789
OH-501,0.2651821862348178,0.9979757085020243
OH-502,0.15374841168996187,0.9923761118170267
OH-503,0.22384937238493724,0.9963389121338913
OH-504,0.21839080459770116,0.9942528735632183
OH-505,0.12042682926829268,0.9939024390243902
OH-506,0.13378684807256236,0.9954648526077098
OH-507,0.1992638036809816,0.9916564417177914
OH-508,0.3643724696356275,0.9919028340080972
OK-500,0.07476635514018691,0.985981308411215
OK-501,0.13358419567262464,0.9858889934148636
OK-502,0.1135175504107543,0.9910380881254668
OK-503,0.10648148148148148,0.9814814814814815
OK-504,0.14213197969543148,0.9898477157360406
OK-505,0.3665480427046263,0.99644128113879
OK-506,0.16417910447761194,1.0
OK-507,0.13548387096774195,0.9967741935483871
OR-500,0.10416666666666667,0.9829861111111111
OR-501,0.08071920428462127,0.96327467482785
OR-502,0.1286970423661071,0.9872102318145484
OR-503,0.16335540838852097,0.9874908020603385
OR-504,0.05484764542936288,0.9883656509695291
OR-505,0.16588612275080108,0.9871826472763126
OR-506,0.21163366336633663,0.9900990099009901
OR-507,0.19089316987740806,0.9964973730297724
PA-500,0.1746491423479617,0.9950991312096236
PA-501,0.27423167848699764,0.9858156028368794
PA-502,0.34328358208955223,1.0
PA-503,0.2733333333333333,1.0
PA-504,0.2746478873239437,0.9964788732394366
PA-505,0.2462686567164179,1.0
PA-506,0.23036649214659685,0.9982547993019197
PA-508,0.2712765957446808,0.9946808510638298
PA-509,0.27161572052401745,0.9956331877729258
PA-510,0.3601694915254237,0.9915254237288136
PA-511,0.2903981264637002,0.9976580796252927
PA-512,0.3268156424581006,0.994413407821229
PA-600,0.19886363636363635,0.9954545454545455
PA-601,0.254421768707483,0.9972789115646259
PA-603,0.4174757281553398,0.9902912621359223
PA-605,0.14093959731543623,0.9932885906040269
PR-502,0.07407407407407407,0.9951267056530214
PR-503,0.030277544154751892,0.9276703111858705
RI-500,0.2010145846544071,0.9904882688649335
SC-500,0.17901234567901234,1.0
SC-501,0.11322248614410134,0.9944576405384006
SC-502,0.13272543059777103,0.9929078014184397
SC-503,0.20019342359767892,0.9932301740812379
SD-500,0.20230381569474443,0.994240460763139
TN-500,0.1303066037735849,1.0
TN-501,0.16777251184834124,0.9867298578199052
TN-502,0.12903225806451613,0.9915110356536503
TN-503,0.1834625322997416,0.9974160206718347
TN-504,0.07724425887265135,0.9947807933194155
TN-506,0.22251308900523561,1.0
TN-507,0.17991169977924945,1.0
TN-509,0.1096938775510204,1.0
TN-510,0.16442048517520216,0.9919137466307277
TN-512,0.20068027210884354,0.9982993197278912
TX-500,0.1378964941569282,0.9939899833055091
TX-503,0.21539436173582516,0.9952486537852392
TX-600,0.1235827664399093,0.9929705215419501
TX-601,0.18558558558558558,0.996996996996997
TX-603,0.25,0.9988038277511961
TX-604,0.2564102564102564,1.0
TX-607,0.15707400056705415,0.9917777147717607
TX-611,0.17397881996974282,0.9939485627836612
TX-624,0.08032128514056225,0.9839357429718876
TX-700,0.10627400768245839,0.9951984635083226
TX-701,0.11627906976744186,1.0
UT-500,0.1909307875894988,0.9899761336515513
UT-503,0.19656019656019655,0.9942669942669943
UT-504,0.23651452282157676,0.991701244813278
VA-500,0.2065997130559541,0.9899569583931134
VA-501,0.13685636856368563,0.997289972899729
VA-502,0.09259259259259259,0.9907407407407407
VA-503,0.26136363636363635,0.9715909090909091
VA-504,0.07518796992481203,0.9624060150375939
VA-505,0.20763723150357996,1.0
VA-507,0.35,1.0
VA-508,0.11904761904761904,1.0
VA-513,0.1807511737089202,1.0
VA-514,0.25691699604743085,0.9960474308300395
VA-521,0.25155555555555553,0.992
VA-600,0.15934065934065933,0.9945054945054945
VA-601,0.2795969773299748,0.9924433249370277
VA-602,0.2222222222222222,0.98989898989899
VA-603,0.225,1.0
VA-604,0.27385892116182575,0.9875518672199171
VI-500,0.005714285714285714,1.0
VT-500,0.18986742424242425,0.9952651515151515
VT-501,0.11976047904191617,0.9880239520958084
WA-500,0.1692848593656493,0.9670107719928187
WA-501,0.16860266484455075,0.9914588315681585
WA-502,0.10358565737051793,0.9863403528742174
WA-503,0.10804970286331712,0.9832522960561858
WA-504,0.15371621621621623,0.9856418918918919
WA-508,0.1921470342522974,0.9883040935672515
WI-500,0.2866513611020007,0.9950803542144966
WI-501,0.20432692307692307,0.9939903846153846
WI-502,0.27461139896373055,0.9948186528497409
WI-503,0.18687589158345222,0.992867332382311
WV-500,0.02459016393442623,0.9754098360655737
WV-501,0.05106382978723404,1.0
WV-503,0.09395973154362416,0.9899328859060402
WV-508,0.06527777777777778,0.9875
WY-500,0.16358024691358025,0.9969135802469136
