CoC Name,CoC Number,Year,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Male,Overall Homeless - Female,Overall Homeless - Transgender,Overall Homeless - Nonbinary Gender,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian or Asian American,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Hispanic/Latino,Overall Homeless - Non-Hispanic/Non-Latino,Label
"Turlock, Modesto/Stanislaus County CoC",CA-510,2022,1857.0,0.098546042003231,0.0495422724824986,0.8519116855142703,0.6499730748519117,0.3435648896068928,0.0,0.0048465266558966,0.7399030694668821,0.1077005923532579,0.0193861066235864,0.061389337641357,0.0140010770059235,0.0576198169089929,0.3397953688745288,0.6602046311254712,2
Stockton/San Joaquin County CoC,CA-511,2022,2319.0,0.141871496334627,0.0413971539456662,0.8167313497197067,0.6127641224665804,0.3842173350582147,0.0008624407072013,0.0008624407072013,0.6308753773178094,0.2238033635187581,0.0284605433376455,0.0211297973264338,0.0112117291936179,0.0845191893057352,0.3130659767141009,0.6869340232858991,2
Daly/San Mateo County CoC,CA-512,2022,1808.0,0.1194690265486725,0.0398230088495575,0.8407079646017699,0.6698008849557522,0.3196902654867257,0.0049778761061946,0.0055309734513274,0.6078539823008849,0.1924778761061946,0.058075221238938,0.0519911504424778,0.0348451327433628,0.0547566371681415,0.4695796460176991,0.5304203539823009,2
"Visalia/Kings, Tulare Counties CoC",CA-513,2022,1235.0,0.0704453441295546,0.0566801619433198,0.8728744939271255,0.622672064777328,0.3732793522267206,0.0008097165991902,0.0008097165991902,0.7773279352226721,0.0963562753036437,0.0105263157894736,0.0631578947368421,0.0186234817813765,0.0340080971659919,0.4777327935222672,0.5222672064777328,2
Fresno City & County/Madera County CoC,CA-514,2022,4216.0,0.1100569259962049,0.0305977229601518,0.8593453510436433,0.6295066413662239,0.3629032258064516,0.0037950664136622,0.0030834914611005,0.603415559772296,0.1435009487666034,0.0308349146110056,0.0723434535104364,0.0083017077798861,0.1416034155597723,0.486954459203036,0.513045540796964,2
"Roseville, Rocklin/Placer County CoC",CA-515,2022,750.0,0.0786666666666666,0.0573333333333333,0.864,0.6226666666666667,0.372,0.0013333333333333,0.004,0.82,0.0813333333333333,0.0186666666666666,0.0253333333333333,0.008,0.0466666666666666,0.1466666666666666,0.8533333333333334,1
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,2022,1837.0,0.1186717474142623,0.0528034839412084,0.8285247686445292,0.6113228089275994,0.3837778987479586,0.0005443658138268,0.0005443658138268,0.7806205770277627,0.0277626565051714,0.0054436581382689,0.1132280892759934,0.0070767555797495,0.0658682634730539,0.0936309199782253,0.9063690800217746,1
Napa City & County CoC,CA-517,2022,495.0,0.0343434343434343,0.0585858585858585,0.907070707070707,0.6484848484848484,0.3434343434343434,0.002020202020202,0.006060606060606,0.8383838383838383,0.0666666666666666,0.002020202020202,0.0525252525252525,0.008080808080808,0.0323232323232323,0.2606060606060606,0.7393939393939394,1
Vallejo/Solano County CoC,CA-518,2022,1179.0,0.0551314673452078,0.0568278201865988,0.8880407124681934,0.6539440203562341,0.3282442748091603,0.0008481764206955,0.008481764206955,0.5122985581000848,0.3324851569126378,0.0110262934690415,0.01696352841391,0.0500424088210347,0.0771840542832909,0.1857506361323155,0.8142493638676844,3
"Chico, Paradise/Butte County CoC",CA-519,2022,1006.0,0.0944333996023856,0.0437375745526839,0.8618290258449304,0.5775347912524851,0.4105367793240557,0.0019880715705765,0.0079522862823061,0.790258449304175,0.0337972166998011,0.0188866799204771,0.0576540755467196,0.0079522862823061,0.0914512922465208,0.1739562624254473,0.8260437375745527,1
Merced City & County CoC,CA-520,2022,855.0,0.1777777777777777,0.0736842105263157,0.7485380116959064,0.6269005847953216,0.3695906432748538,0.0035087719298245,0.0,0.6128654970760234,0.1415204678362573,0.031578947368421,0.0584795321637426,0.0011695906432748,0.1543859649122807,0.431578947368421,0.5684210526315789,2
"Davis, Woodland/Yolo County CoC",CA-521,2022,746.0,0.1219839142091152,0.0630026809651474,0.8150134048257373,0.6340482573726541,0.3646112600536193,0.0013404825737265,0.0,0.660857908847185,0.1823056300268096,0.0214477211796246,0.0951742627345844,0.0187667560321715,0.0214477211796246,0.292225201072386,0.707774798927614,2
Humboldt County CoC,CA-522,2022,1648.0,0.0285194174757281,0.0370145631067961,0.9344660194174758,0.716626213592233,0.2754854368932038,0.0036407766990291,0.0042475728155339,0.8046116504854369,0.0333737864077669,0.0012135922330097,0.0849514563106796,0.0097087378640776,0.0661407766990291,0.0758495145631067,0.9241504854368932,1
"Colusa, Glenn, Trinity Counties CoC",CA-523,2022,340.0,0.3147058823529411,0.0470588235294117,0.638235294117647,0.5264705882352941,0.4735294117647058,0.0,0.0,0.8588235294117647,0.0147058823529411,0.0029411764705882,0.0205882352941176,0.0058823529411764,0.0970588235294117,0.2147058823529411,0.7852941176470588,1
Yuba City & County/Sutter County CoC,CA-524,2022,1094.0,0.2522851919561243,0.0585009140767824,0.6892138939670932,0.5246800731261426,0.473491773308958,0.0009140767824497,0.0,0.6252285191956124,0.1005484460694698,0.0082266910420475,0.0484460694698354,0.0027422303473491,0.2148080438756855,0.1837294332723948,0.8162705667276051,1
El Dorado County CoC,CA-525,2022,511.0,0.0273972602739726,0.1643835616438356,0.8082191780821918,0.6360078277886497,0.3268101761252446,0.0117416829745596,0.0078277886497064,0.8904109589041096,0.0313111545988258,0.0234833659491193,0.0254403131115459,0.009784735812133,0.0195694716242661,0.0841487279843444,0.9158512720156556,1
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,2022,625.0,0.0784,0.0448,0.8768,0.5872,0.4096,0.0,0.0,0.8624,0.0064,0.0,0.064,0.0016,0.0656,0.1104,0.8896,1
Tehama County CoC,CA-527,2022,291.0,0.1374570446735395,0.0481099656357388,0.8144329896907216,0.6426116838487973,0.3573883161512027,0.0,0.0,0.9003436426116839,0.0068728522336769,0.0103092783505154,0.0721649484536082,0.0034364261168384,0.0068728522336769,0.1649484536082474,0.8350515463917526,1
